StartOfProtocolGeneralReport
Protocol Name	 Pico-green assay run
Application Type	Analysis
Reading Direction	Row
Result Name	1220344030849-4330332423663
Date Created	13 May 2007
Date Edited	12 December 2013
Date Last Used	06 June 2014
Date Measured	06 June 2014
Date Evaluated	06 June 2014
Valid	Measured
EndOfProtocolGeneralReport
StartOfMethodListReport
Method 1	Shake
Shake Type	Linear
Shake Intensity	Low
Shake Duration	10
Method 2	x_DTX880_Fluor_Int_Bottom fly mode
Measurement Technique	FluorescenceIntensityBottom
Scan Points horizontal	2
Scan Points vertical	2
ScanResolutionX	3.31875
ScanResolutionY	3.31875
EndOfMethodListReport
StartOfLabwareReport
Labeware Name	x_DTX_Fluor_Greiner 96 black clear bottom
Wells_X	12
Wells_Y	8
WellCount	96
Labware Created	21 February 2007
Labware Edited	13 May 2007
Notes	µ-Clear, #655 096
Lot #	Lot 2013-03-11T12:19:19
Lot Created	11 March 2013
Lot Optimized	11 March 2013
Notes	None
EndOfLabwareReport
StartOfRawDataReport
RawData	x_DTX880_Fluor_Int_Bottom fly mode	SequenceNr	1
PlateNumber	0
PlateID	
Temperature	17
CycleTime	0
Data	8	12	WellData	2	2
1.1	1465492	1560078	
	1363967	1608545	
1.2	1136278	1054820	
	972741	1051059	
1.3	500307	519352	
	483233	525557	
1.4	804576	764120	
	735666	795820	
1.5	620873	610267	
	585842	644646	
1.6	368193	359234	
	335160	379212	
1.7	142005	137110	
	121049	138375	
1.8	358312	418417	
	348732	397925	
1.9	507140	535298	
	484697	571622	
1.10	945859	952674	
	797894	930017	
1.11	123500	115963	
	108374	126478	
1.12	2629	4719	
	8052	11186	
2.1	840508	847851	
	775166	938412	
2.2	1223562	1207375	
	1225708	1250692	
2.3	553144	573848	
	545686	549543	
2.4	786746	747277	
	730442	739789	
2.5	288423	325062	
	295551	289014	
2.6	350916	393306	
	366926	399684	
2.7	694676	814171	
	756894	774162	
2.8	688573	783123	
	689971	743982	
2.9	826948	929486	
	828954	887826	
2.10	759038	815928	
	743058	781872	
2.11	517276	553957	
	508523	539925	
2.12	962171	1060007	
	911608	1015383	
3.1	2418052	2453681	
	2135148	2418742	
3.2	817567	856160	
	793562	842099	
3.3	596631	647245	
	647946	608807	
3.4	2934	2070	
	9180	8304	
3.5	5027	4856	
	6058	5194	
3.6	1629484	1706074	
	1563319	1675654	
3.7	557282	582744	
	523254	549332	
3.8	1264505	1752150	
	1225512	1324244	
3.9	922742	1068896	
	857172	983308	
3.10	759729	778843	
	707852	768884	
3.11	1013876	1044540	
	979973	1008214	
3.12	871593	964452	
	828452	929827	
4.1	773222	744926	
	676589	748834	
4.2	1189532	1205816	
	1157804	1178444	
4.3	814564	863695	
	867561	849707	
4.4	3443	8490	
	5704	3773	
4.5	573883	593211	
	600473	600415	
4.6	986584	1040841	
	977373	1000060	
4.7	789620	968488	
	810321	895808	
4.8	921600	1056063	
	884421	950883	
4.9	671243	751073	
	667199	684742	
4.10	888915	988360	
	865435	944710	
4.11	779987	762715	
	714301	764466	
4.12	1140432	1246697	
	1047657	1189697	
5.1	799029	769183	
	687901	763280	
5.2	823263	914298	
	774803	828909	
5.3	949499	972944	
	932932	949579	
5.4	1195092	1197025	
	1199599	1176152	
5.5	1208166	1382232	
	1274177	1261088	
5.6	778082	823630	
	766965	807384	
5.7	545749	658289	
	569719	605078	
5.8	591914	671609	
	615873	629158	
5.9	6877	3737	
	8280	0	
5.10	1137221	1139107	
	1044669	1120882	
5.11	873338	895163	
	804451	866064	
5.12	844579	953660	
	808346	929283	
6.1	2054637	1948562	
	1868968	2022932	
6.2	1607455	1655006	
	1406416	1580196	
6.3	2022791	2068186	
	1927966	2025606	
6.4	389193	391971	
	387661	385657	
6.5	2309133	2403107	
	2229594	2323634	
6.6	84664	82952	
	86400	84283	
6.7	666229	773457	
	640045	723093	
6.8	509203	558580	
	467781	510697	
6.9	431800	486608	
	404790	461654	
6.10	698436	745115	
	644103	739821	
6.11	1507192	1625199	
	1400154	1577140	
6.12	873377	882099	
	799414	885165	
7.1	1084712	1111840	
	1038454	1143148	
7.2	276752	306275	
	266691	288560	
7.3	412699	444428	
	443163	449560	
7.4	3408443	3622972	
	3363140	3444764	
7.5	2748481	3182669	
	2954393	3201666	
7.6	929554	1076114	
	998731	1075589	
7.7	679282	822037	
	707628	748435	
7.8	640082	776522	
	667325	728828	
7.9	913750	1106335	
	911712	1030157	
7.10	891826	994907	
	880057	954844	
7.11	383832	474655	
	369272	427124	
7.12	250340	246438	
	228033	259318	
8.1	677782	685016	
	623785	756009	
8.2	3297752	3691262	
	3086700	3497392	
8.3	488707	508132	
	454703	523699	
8.4	954011	990314	
	982080	969533	
8.5	879850	963747	
	926569	977993	
8.6	547575	578048	
	602466	605988	
8.7	800203	966758	
	798373	890597	
8.8	980461	1154683	
	913633	1147127	
8.9	1237099	1395471	
	1221753	1387561	
8.10	938389	1075503	
	942187	1063524	
8.11	1229250	1365962	
	1194517	1337410	
8.12	951574	1131689	
	926986	1112060	
	926986	1112060	
EndOfRawDataReport
